"_id","data__destination_station_id","data__departure_time","data__arrival_time"
"838GA00062","838GA00052","08:52:00","08:57:00"
"","838GA00058","08:52:00","09:00:00"
"","837GA00023","08:52:00","09:08:00"
"","838GA00052","06:22:00","06:27:00"
"","838GA00058","06:22:00","06:30:00"
"","837GA00023","06:22:00","06:38:00"
"","838GA00052","09:52:00","09:57:00"
"","838GA00058","09:52:00","10:00:00"
"","837GA00023","09:52:00","10:08:00"
"","838GA00052","06:52:00","06:57:00"
"","838GA00058","06:52:00","07:00:00"
"","837GA00023","06:52:00","07:08:00"
"","838GA00052","11:52:00","11:57:00"
"","838GA00058","11:52:00","12:00:00"
"","837GA00023","11:52:00","12:08:00"
"","838GA00052","07:22:00","07:27:00"
"","838GA00058","07:22:00","07:30:00"
"","837GA00023","07:22:00","07:38:00"
"","838GA00052","12:52:00","12:57:00"
"","838GA00058","12:52:00","13:00:00"
"","837GA00023","12:52:00","13:08:00"
"","838GA00052","07:52:00","07:57:00"
"","838GA00058","07:52:00","08:00:00"
"","837GA00023","07:52:00","08:08:00"
"","838GA00052","14:52:00","14:57:00"
"","838GA00058","14:52:00","15:00:00"
"","837GA00023","14:52:00","15:08:00"
"","838GA00052","08:22:00","08:27:00"
"","838GA00058","08:22:00","08:30:00"
"","837GA00023","08:22:00","08:38:00"
"","838GA00052","16:52:00","16:57:00"
"","838GA00058","16:52:00","17:00:00"
"","837GA00023","16:52:00","17:08:00"
"","838GA00052","08:52:00","08:57:00"
"","838GA00058","08:52:00","09:00:00"
"","837GA00023","08:52:00","09:08:00"
"","838GA00052","17:52:00","17:57:00"
"","838GA00058","17:52:00","18:00:00"
"","837GA00023","17:52:00","18:08:00"
"","838GA00052","09:22:00","09:27:00"
"","838GA00058","09:22:00","09:30:00"
"","837GA00023","09:22:00","09:38:00"
"","838GA00052","18:52:00","18:57:00"
"","838GA00058","18:52:00","19:00:00"
"","837GA00023","18:52:00","19:08:00"
"","838GA00052","09:52:00","09:57:00"
"","838GA00058","09:52:00","10:00:00"
"","837GA00023","09:52:00","10:08:00"
"","838GA00052","20:52:00","20:57:00"
"","838GA00058","20:52:00","21:00:00"
"","837GA00023","20:52:00","21:08:00"
"","838GA00052","10:52:00","10:57:00"
"","838GA00058","10:52:00","11:00:00"
"","837GA00023","10:52:00","11:08:00"
"","838GA00052","11:52:00","11:57:00"
"","838GA00058","11:52:00","12:00:00"
"","837GA00023","11:52:00","12:08:00"
"","838GA00052","12:52:00","12:57:00"
"","838GA00058","12:52:00","13:00:00"
"","837GA00023","12:52:00","13:08:00"
"","838GA00052","13:52:00","13:57:00"
"","838GA00058","13:52:00","14:00:00"
"","837GA00023","13:52:00","14:08:00"
"","838GA00052","14:52:00","14:57:00"
"","838GA00058","14:52:00","15:00:00"
"","837GA00023","14:52:00","15:08:00"
"","838GA00052","15:52:00","15:57:00"
"","838GA00058","15:52:00","16:00:00"
"","837GA00023","15:52:00","16:08:00"
"","838GA00052","16:52:00","16:57:00"
"","838GA00058","16:52:00","17:00:00"
"","837GA00023","16:52:00","17:08:00"
"","838GA00052","17:52:00","17:57:00"
"","838GA00058","17:52:00","18:00:00"
"","837GA00023","17:52:00","18:08:00"
"","838GA00052","18:22:00","18:27:00"
"","838GA00058","18:22:00","18:30:00"
"","837GA00023","18:22:00","18:38:00"
"","838GA00052","18:52:00","18:57:00"
"","838GA00058","18:52:00","19:00:00"
"","837GA00023","18:52:00","19:08:00"
"","838GA00052","19:52:00","19:57:00"
"","838GA00058","19:52:00","20:00:00"
"","837GA00023","19:52:00","20:08:00"
"","838GA00052","20:52:00","20:57:00"
"","838GA00058","20:52:00","21:00:00"
"","837GA00023","20:52:00","21:08:00"
"","838GA00052","21:52:00","21:57:00"
"","838GA00058","21:52:00","22:00:00"
"","837GA00023","21:52:00","22:08:00"
"","838GA00052","22:52:00","22:57:00"
"","838GA00058","22:52:00","23:00:00"
"","837GA00023","22:52:00","23:08:00"
"","838GA00052","10:52:00","10:57:00"
"","838GA00058","10:52:00","11:00:00"
"","837GA00023","10:52:00","11:08:00"
"","838GA00052","08:52:00","08:57:00"
"","838GA00058","08:52:00","09:00:00"
"","837GA00023","08:52:00","09:08:00"
"","838GA00052","06:22:00","06:27:00"
"","838GA00058","06:22:00","06:30:00"
"","837GA00023","06:22:00","06:38:00"
"","838GA00052","09:52:00","09:57:00"
"","838GA00058","09:52:00","10:00:00"
"","837GA00023","09:52:00","10:08:00"
"","838GA00052","06:52:00","06:57:00"
"","838GA00058","06:52:00","07:00:00"
"","837GA00023","06:52:00","07:08:00"
"","838GA00052","11:52:00","11:57:00"
"","838GA00058","11:52:00","12:00:00"
"","837GA00023","11:52:00","12:08:00"
"","838GA00052","07:22:00","07:27:00"
"","838GA00058","07:22:00","07:30:00"
"","837GA00023","07:22:00","07:38:00"
"","838GA00052","12:52:00","12:57:00"
"","838GA00058","12:52:00","13:00:00"
"","837GA00023","12:52:00","13:08:00"
"","838GA00052","07:52:00","07:57:00"
"","838GA00058","07:52:00","08:00:00"
"","837GA00023","07:52:00","08:08:00"
"","838GA00052","14:52:00","14:57:00"
"","838GA00058","14:52:00","15:00:00"
"","837GA00023","14:52:00","15:08:00"
"","838GA00052","08:22:00","08:27:00"
"","838GA00058","08:22:00","08:30:00"
"","837GA00023","08:22:00","08:38:00"
"","838GA00052","16:52:00","16:57:00"
"","838GA00058","16:52:00","17:00:00"
"","837GA00023","16:52:00","17:08:00"
"","838GA00052","08:52:00","08:57:00"
"","838GA00058","08:52:00","09:00:00"
"","837GA00023","08:52:00","09:08:00"
"","838GA00052","17:52:00","17:57:00"
"","838GA00058","17:52:00","18:00:00"
"","837GA00023","17:52:00","18:08:00"
"","838GA00052","09:22:00","09:27:00"
"","838GA00058","09:22:00","09:30:00"
"","837GA00023","09:22:00","09:38:00"
"","838GA00052","18:52:00","18:57:00"
"","838GA00058","18:52:00","19:00:00"
"","837GA00023","18:52:00","19:08:00"
"","838GA00052","09:52:00","09:57:00"
"","838GA00058","09:52:00","10:00:00"
"","837GA00023","09:52:00","10:08:00"
"","838GA00052","20:52:00","20:57:00"
"","838GA00058","20:52:00","21:00:00"
"","837GA00023","20:52:00","21:08:00"
"","838GA00052","10:52:00","10:57:00"
"","838GA00058","10:52:00","11:00:00"
"","837GA00023","10:52:00","11:08:00"
"","838GA00052","11:52:00","11:57:00"
"","838GA00058","11:52:00","12:00:00"
"","837GA00023","11:52:00","12:08:00"
"","838GA00052","12:52:00","12:57:00"
"","838GA00058","12:52:00","13:00:00"
"","837GA00023","12:52:00","13:08:00"
"","838GA00052","13:52:00","13:57:00"
"","838GA00058","13:52:00","14:00:00"
"","837GA00023","13:52:00","14:08:00"
"","838GA00052","14:52:00","14:57:00"
"","838GA00058","14:52:00","15:00:00"
"","837GA00023","14:52:00","15:08:00"
"","838GA00052","15:52:00","15:57:00"
"","838GA00058","15:52:00","16:00:00"
"","837GA00023","15:52:00","16:08:00"
"","838GA00052","16:52:00","16:57:00"
"","838GA00058","16:52:00","17:00:00"
"","837GA00023","16:52:00","17:08:00"
"","838GA00052","17:52:00","17:57:00"
"","838GA00058","17:52:00","18:00:00"
"","837GA00023","17:52:00","18:08:00"
"","838GA00052","18:22:00","18:27:00"
"","838GA00058","18:22:00","18:30:00"
"","837GA00023","18:22:00","18:38:00"
"","838GA00052","18:52:00","18:57:00"
"","838GA00058","18:52:00","19:00:00"
"","837GA00023","18:52:00","19:08:00"
"","838GA00052","19:52:00","19:57:00"
"","838GA00058","19:52:00","20:00:00"
"","837GA00023","19:52:00","20:08:00"
"","838GA00052","20:52:00","20:57:00"
"","838GA00058","20:52:00","21:00:00"
"","837GA00023","20:52:00","21:08:00"
"","838GA00052","21:52:00","21:57:00"
"","838GA00058","21:52:00","22:00:00"
"","837GA00023","21:52:00","22:08:00"
"","838GA00052","22:52:00","22:57:00"
"","838GA00058","22:52:00","23:00:00"
"","837GA00023","22:52:00","23:08:00"
"","838GA00065","08:30:00","08:38:00"
"","838GA00065","06:00:00","06:08:00"
"","838GA00065","09:30:00","09:38:00"
"","838GA00065","06:30:00","06:38:00"
"","838GA00065","11:30:00","11:38:00"
"","838GA00065","12:30:00","12:38:00"
"","838GA00065","14:30:00","14:38:00"
"","838GA00065","16:30:00","16:38:00"
"","838GA00065","17:30:00","17:38:00"
"","838GA00065","18:30:00","18:38:00"
"","838GA00065","20:30:00","20:38:00"
"","838GA00065","10:30:00","10:38:00"
"","838GA00065","11:30:00","11:38:00"
"","838GA00065","12:30:00","12:38:00"
"","838GA00065","13:30:00","13:38:00"
"","838GA00065","14:30:00","14:38:00"
"","838GA00065","15:30:00","15:38:00"
"","838GA00065","16:30:00","16:38:00"
"","838GA00065","17:30:00","17:38:00"
"","838GA00065","19:30:00","19:38:00"
"","838GA00065","20:30:00","20:38:00"
"","838GA00065","21:30:00","21:38:00"
"","838GA00065","22:30:00","22:38:00"
"","838GA00065","08:30:00","08:38:00"
"","838GA00065","06:00:00","06:08:00"
"","838GA00065","09:30:00","09:38:00"
"","838GA00065","06:30:00","06:38:00"
"","838GA00065","11:30:00","11:38:00"
"","838GA00065","12:30:00","12:38:00"
"","838GA00065","14:30:00","14:38:00"
"","838GA00065","16:30:00","16:38:00"
"","838GA00065","17:30:00","17:38:00"
"","838GA00065","18:30:00","18:38:00"
"","838GA00065","20:30:00","20:38:00"
"","838GA00065","10:30:00","10:38:00"
"","838GA00065","11:30:00","11:38:00"
"","838GA00065","12:30:00","12:38:00"
"","838GA00065","13:30:00","13:38:00"
"","838GA00065","14:30:00","14:38:00"
"","838GA00065","15:30:00","15:38:00"
"","838GA00065","16:30:00","16:38:00"
"","838GA00065","17:30:00","17:38:00"
"","838GA00065","19:30:00","19:38:00"
"","838GA00065","20:30:00","20:38:00"
"","838GA00065","21:30:00","21:38:00"
"","838GA00065","22:30:00","22:38:00"
"","838GA00065","10:30:00","10:38:00"
"","838GA00065","07:03:00","07:09:00"
"","838GA00065","07:33:00","07:39:00"
"","838GA00065","08:03:00","08:09:00"
"","838GA00065","08:33:00","08:39:00"
"","838GA00065","09:03:00","09:09:00"
"","838GA00065","09:33:00","09:39:00"
"","838GA00065","18:03:00","18:09:00"
"","838GA00065","18:33:00","18:39:00"
"","838GA00065","07:03:00","07:09:00"
"","838GA00065","07:33:00","07:39:00"
"","838GA00065","08:03:00","08:09:00"
"","838GA00065","08:33:00","08:39:00"
"","838GA00065","09:03:00","09:09:00"
"","838GA00065","09:33:00","09:39:00"
"","838GA00065","18:03:00","18:09:00"
"","838GA00065","18:33:00","18:39:00"
